"species","decimalLongitude","decimalLatitude","issues","countryCode","individualCount","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","datasetName","catalogNumber"
"Eurybia conspicua",-110.105628,49.659944,"cdc,cdround","CAN",NA,"PRESENT",304,"iNaturalist","3961397473","https://www.inaturalist.org/observations/121943496","HUMAN_OBSERVATION",2022,6,9,"2022-06-09T16:48:00","WGS84","iNaturalist research-grade observations","121943496"
"Eurybia conspicua",-118.759898,55.109446,"cdc,cdround","CAN",NA,"PRESENT",4,"iNaturalist","3872920742","https://www.inaturalist.org/observations/122810588","HUMAN_OBSERVATION",2022,6,21,"2022-06-21T08:35:36","WGS84","iNaturalist research-grade observations","122810588"
"Eurybia conspicua",-115.97579,51.259481,"cdc,cdround","CAN",NA,"PRESENT",4,"iNaturalist","3960970482","https://www.inaturalist.org/observations/123133620","HUMAN_OBSERVATION",2022,6,23,"2022-06-23T14:30:22","WGS84","iNaturalist research-grade observations","123133620"
"Eurybia conspicua",-110.312417,49.661595,"cdc,cdround","CAN",NA,"PRESENT",6,"iNaturalist","3960994488","https://www.inaturalist.org/observations/123742301","HUMAN_OBSERVATION",2022,6,27,"2022-06-27T08:56:15","WGS84","iNaturalist research-grade observations","123742301"
"Eurybia conspicua",-115.314588,51.090939,"cdc,cdround","CAN",NA,"PRESENT",10,"iNaturalist","4009829481","https://www.inaturalist.org/observations/124165698","HUMAN_OBSERVATION",2022,6,30,"2022-06-30T11:33:50","WGS84","iNaturalist research-grade observations","124165698"
"Eurybia conspicua",-121.701057,50.838654,"cdc","CAN",NA,"PRESENT",20,"iNaturalist","3947485377","https://www.inaturalist.org/observations/138748369","HUMAN_OBSERVATION",2022,6,9,"2022-06-09T11:00:00","WGS84","iNaturalist research-grade observations","138748369"
"Eurybia conspicua",-121.69796,50.833878,"cdc","CAN",NA,"PRESENT",20,"iNaturalist","3947535372","https://www.inaturalist.org/observations/138756939","HUMAN_OBSERVATION",2022,6,9,"2022-06-09T13:03:00","WGS84","iNaturalist research-grade observations","138756939"
"Eurybia conspicua",-121.234016,50.852905,"cdc","CAN",NA,"PRESENT",20,"iNaturalist","4022072445","https://www.inaturalist.org/observations/139243527","HUMAN_OBSERVATION",2022,6,5,"2022-06-05T16:02:00","WGS84","iNaturalist research-grade observations","139243527"
"Eurybia conspicua",-111.328895,54.098487,"cdc,cdround","CAN",NA,"PRESENT",162,"iNaturalist","4009939490","https://www.inaturalist.org/observations/124415491","HUMAN_OBSERVATION",2022,7,1,"2022-07-01T16:14:51","WGS84","iNaturalist research-grade observations","124415491"
"Eurybia conspicua",-125.266827,53.021748,"cdc,cdround","CAN",NA,"PRESENT",25,"iNaturalist","3872903182","https://www.inaturalist.org/observations/125242840","HUMAN_OBSERVATION",2022,7,7,"2022-07-07T10:29:00","WGS84","iNaturalist research-grade observations","125242840"
